Dim_cm2,Date,Style_encoded,Artist_encoded,Medium_encoded,Cluster
2181.12,1994,5,2802,2133,2
2404.36,1991,5,2802,2128,2
1533.6,1990,5,2802,2133,2
1532.8,1991,5,2802,2133,2
1530.05,1987,5,2802,2134,2
2444.7,1991,5,2802,2133,2
2582.8,1995,5,2802,2348,2
1209.88,1987,5,2802,2133,2
990.45,1991,5,2802,2133,2
813.24,1992,5,2802,2133,2
549.1,1992,5,2802,2251,2
899.46,1991,5,2802,2133,2
994.0,1989,5,2802,2133,2
1393.85,1991,5,2802,2251,2
2264.86,1992,5,2802,2133,2
758.25,1915,1,3386,5151,0
4205.6,1966,4,2621,3843,0
4282.44,1922,8,966,3859,0
3493.5,1957,2,2437,4887,0
8575.56,1903,3,1260,2978,1
308.0,1928,8,2168,3748,0
8180.7,1966,4,2621,5199,0
341.7,1941,2,1863,3748,0
595.55,1963,4,410,730,1
985.23,1904,3,2603,5109,0
476.85,1915,1,2642,5124,0
690.08,1917,1,1116,5153,0
308.0,1928,8,2168,3748,0
585.04,1910,1,3174,3584,2
1497.3,1946,2,1561,441,1
574.09,1912,1,2603,2188,2
813.24,1916,1,2642,2259,2
2702.75,1915,1,1160,468,1
3976.0,1960,4,1572,1673,1
2776.14,1944,2,1688,3784,0
1893.75,1933,8,2603,5109,0
1565.1,1923,8,2642,2259,2
211.68,1972,4,2375,2251,2
625.8,1965,4,3149,289,2
744.72,1925,8,2642,2259,2
1158.72,1928,8,2168,3620,0
631.76,1965,4,3149,1694,2
1584.36,1927,8,2642,2259,2
4166.28,1957,2,3355,2136,2
1144.52,1928,8,2168,2124,2
3662.76,1930,8,1088,5109,0
1174.8,1881,3,2564,409,2
3022.6,1925,8,2642,3172,2
1085.6,1918,1,2002,844,1
3252.96,1940,2,2642,4050,0
2789.8,1957,2,3355,2136,2
1162.8,1928,8,2168,2124,2
2730.0,1970,4,2381,780,2
368.46,1944,2,1561,2323,1
3207.12,1930,8,1088,5223,0
2025.0,1978,4,2023,3615,0
933.4,1882,3,2564,426,2
664.02,1922,8,2002,838,2
2946.3,1970,4,499,468,1
